!Series_title	"Homo sapiens whole genome expression microarray of endometrium obtained from fertile and Infertile women with stage IV ovarian endometriosis and without endometriosis"
!Series_geo_accession	"GSE120103"
!Series_status	"Public on Feb 26 2019"
!Series_submission_date	"Sep 18 2018"
!Series_last_update_date	"Feb 26 2019"
!Series_pubmed_id	"30760267"
!Series_summary	"The hypothesis that male michrochimerism in eutopic endometrium is a factor for endometriosis, as indicated by indirect evidence was examined in endometrial samples from control (Group 1) and stage IV ovarian endometriosis (Group 2), either fertile (Group 1A and 2A) or Infertile (Group 1B and 2B) pateints."
!Series_summary	"6 coding and 10 non-coding genes showed bi-modal pattern of expression characterised by low expression in samples obtained from fertile patients and high expressions in infertile patients. Several coding and non-coding MSY-linked genes displayed michrochimerism in form of presence of their respective DNA inserts along with their microarray-detectable expression in endometrium irrespective of fertility history and disease."
!Series_overall_design	"Whole genome expression arrays of endometrial total RNA obtained from  endometrium of women without endometriosis (Group 1) and with stage IV ovarian endometriosis (Group 2), either fertile (Group 1A and 2A) or Infertile (Group 1B and 2B)."
!Series_type	"Expression profiling by array"
!Series_contributor	"Muzaffer,A,Bhat"
!Series_contributor	"Debabrata,,Ghosh"
!Series_sample_id	"GSM3393491 GSM3393492 GSM3393493 GSM3393494 GSM3393495 GSM3393496 GSM3393497 GSM3393498 GSM3393499 GSM3393500 GSM3393501 GSM3393502 GSM3393503 GSM3393504 GSM3393505 GSM3393506 GSM3393507 GSM3393508 GSM3393509 GSM3393510 GSM3393511 GSM3393512 GSM3393513 GSM3393514 GSM3393515 GSM3393516 GSM3393517 GSM3393518 GSM3393519 GSM3393520 GSM3393521 GSM3393522 GSM3393523 GSM3393524 GSM3393525 GSM3393526 "
!Series_contact_name	"Muzaffer,Ahmed,Bhat"
!Series_contact_email	"muzaffar.sciml87@gmail.com"
!Series_contact_phone	"91 8826753204"
!Series_contact_laboratory	"Molecular Biology"
!Series_contact_department	"Physiology"
!Series_contact_institute	"AIIMS"
!Series_contact_address	"ANSARI NAGAR NEW DELHI 110029"
!Series_contact_city	"Delhi"
!Series_contact_state	"Delhi"
!Series_contact_zip/postal_code	"110029"
!Series_contact_country	"India"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120103/suppl/GSE120103_RAW.tar"
!Series_platform_id	"GPL6480"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA491703"

!Sample_title	"Disease free Endometrium of fertile women, replicate 1"	"Disease free Endometrium of fertile women, replicate 2"	"Disease free Endometrium of fertile women, replicate 3"	"Disease free Endometrium of fertile women, replicate 4"	"Disease free Endometrium of fertile women, replicate 5"	"Disease free Endometrium of fertile women, replicate 6"	"Disease free Endometrium of fertile women, replicate 7"	"Disease free Endometrium of fertile women, replicate 8"	"Disease free Endometrium of fertile women, replicate 9"	"Endometrium  from Stage IV Ovarian Endometriosis of fertile women, replicate 1"	"Endometrium  from Stage IV Ovarian Endometriosis of fertile women, replicate 2"	"Endometrium  from Stage IV Ovarian Endometriosis of fertile women, replicate 3"	"Endometrium  from Stage IV Ovarian Endometriosis of fertile women, replicate 4"	"Endometrium  from Stage IV Ovarian Endometriosis of fertile women, replicate 5"	"Endometrium  from Stage IV Ovarian Endometriosis of fertile women, replicate 6"	"Endometrium  from Stage IV Ovarian Endometriosis of fertile women, replicate 7"	"Endometrium  from Stage IV Ovarian Endometriosis of fertile women, replicate 8"	"Endometrium  from Stage IV Ovarian Endometriosis of fertile women, replicate 9"	"Disease free Endometrium of Infertile women, replicate 1"	"Disease free Endometrium of Infertile women, replicate 2"	"Disease free Endometrium of Infertile women, replicate 3"	"Disease free Endometrium of Infertile women, replicate 4"	"Disease free Endometrium of Infertile women, replicate 5"	"Disease free Endometrium of Infertile women, replicate 6"	"Disease free Endometrium of Infertile women, replicate 7"	"Disease free Endometrium of Infertile women, replicate 8"	"Disease free Endometrium of Infertile women, replicate 9"	"Endometrium  from Stage IV Ovarian Endometriosis of Infertile women, replicate 1"	"Endometrium  from Stage IV Ovarian Endometriosis of Infertile women, replicate 2"	"Endometrium  from Stage IV Ovarian Endometriosis of Infertile women, replicate 3"	"Endometrium  from Stage IV Ovarian Endometriosis of Infertile women, replicate 4"	"Endometrium  from Stage IV Ovarian Endometriosis of Infertile women, replicate 5"	"Endometrium  from Stage IV Ovarian Endometriosis of Infertile women, replicate 6"	"Endometrium  from Stage IV Ovarian Endometriosis of Infertile women, replicate 7"	"Endometrium  from Stage IV Ovarian Endometriosis of Infertile women, replicate 8"	"Endometrium  from Stage IV Ovarian Endometriosis of Infertile women, replicate 9"
!Sample_geo_accession	"GSM3393491"	"GSM3393492"	"GSM3393493"	"GSM3393494"	"GSM3393495"	"GSM3393496"	"GSM3393497"	"GSM3393498"	"GSM3393499"	"GSM3393500"	"GSM3393501"	"GSM3393502"	"GSM3393503"	"GSM3393504"	"GSM3393505"	"GSM3393506"	"GSM3393507"	"GSM3393508"	"GSM3393509"	"GSM3393510"	"GSM3393511"	"GSM3393512"	"GSM3393513"	"GSM3393514"	"GSM3393515"	"GSM3393516"	"GSM3393517"	"GSM3393518"	"GSM3393519"	"GSM3393520"	"GSM3393521"	"GSM3393522"	"GSM3393523"	"GSM3393524"	"GSM3393525"	"GSM3393526"
!Sample_status	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"	"Public on Feb 26 2019"
!Sample_submission_date	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"
!Sample_last_update_date	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"	"Feb 26 2019"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
