,predicted_subtype
PPP_000,Subtype_A
PPP_001,Subtype_B
PPP_002,Subtype_A
PPP_003,Subtype_B
PPP_004,Subtype_A
PPP_005,Subtype_A
PPP_006,Subtype_A
PPP_007,Subtype_A
PPP_008,Subtype_A
PPP_009,Subtype_A
PPP_010,Subtype_C
PPP_011,Subtype_A
PPP_012,Subtype_A
PPP_013,Subtype_C
PPP_014,Subtype_B
PPP_015,Subtype_A
PPP_016,Subtype_B
PPP_017,Subtype_B
PPP_018,Subtype_B
PPP_019,Subtype_B
PPP_020,Subtype_A
PPP_021,Subtype_A
PPP_022,Subtype_B
PPP_023,Subtype_A
PPP_024,Subtype_A
PPP_025,Subtype_B
PPP_026,Subtype_B
PPP_027,Subtype_A
PPP_028,Subtype_B
PPP_029,Subtype_A
PPP_030,Subtype_B
PPP_031,Subtype_A
PPP_032,Subtype_B
PPP_033,Subtype_B
PPP_034,Subtype_A
PPP_035,Subtype_C
PPP_036,Subtype_A
PPP_037,Subtype_C
PPP_038,Subtype_A
PPP_039,Subtype_A
